static, strong, nominative, nominal, safe, manifest;Java (programming language)
dynamic, strong;Erlang (programming language)
dynamic, strong;Factor (programming language)
dynamic, strong;Franz Lisp
dynamic, strong;Golo (programming language)
dynamic, strong;Io (programming language)
dynamic, strong;Joy (programming language)
dynamic, strong;K (programming language)
dynamic, strong;Lisp (programming language)
dynamic, strong;Little b (programming language)
dynamic, strong;MDL (programming language)
dynamic, strong;Obliq
dynamic, strong;PostScript
dynamic, strong;Pure (programming language)
dynamic, strong;Q (programming language from Kx Systems)
dynamic, strong;Scheme (programming language)
dynamic, strong;Smalltalk
dynamic, strong;T (programming language)
optional;Dart (programming language)
static, partially inferred, nominative, nominal;C++
dynamic, structural;TypeScript
static, strong, safe;Ceylon (programming language)
static, strong, safe;Pascal (programming language)
static, strong, safe;X10 (programming language)
hybrid, optional;Strongtalk
hybrid, strong, duck;Apache Groovy
static, strong, inferred, structural;Ballerina (programming language)
static, strong, inferred, structural;Go (programming language)
static, strong, inferred, structural;Scala (programming language)
hybrid;DRAKON
hybrid;Euphoria (programming language)
hybrid;Fantom (programming language)
hybrid, strong, inferred;Mirah (programming language)
static, partially inferred, nominative;EC (programming language)
hybrid, strong, nominative, safe;ABAP
dynamic, nominative, nominal, parametric, optional;Julia (programming language)
static, strong, dependent;Epigram (programming language)
hybrid, strong, hybrid;Oberon (programming language)
dynamic, weak;AppleScript
dynamic, weak;PHP
hybrid, manifest;Pike (programming language)
